product_id,product_name,category,subcategory,brand,description,price,rating,stock,created_at
P00058,BrandD Beauty 58,Beauty,Makeup,BrandD,"High-quality beauty product. Features durability, style, and value.",583.1,2.4,861,2026-06-28
P00059,Elite Home & Garden 59,Home & Garden,Kitchen,Elite,"High-quality home & garden product. Features durability, style, and value.",438.56,3.3,524,2026-07-02
P00060,Luxury Toys 60,Toys,Board Games,Luxury,"High-quality toys product. Features durability, style, and value.",856.45,2.6,832,2026-03-29
P00061,BrandE Books 61,Books,Self-Help,BrandE,"High-quality books product. Features durability, style, and value.",372.02,2.8,633,2026-06-03
P00062,BrandB Toys 62,Toys,Building Blocks,BrandB,"High-quality toys product. Features durability, style, and value.",374.68,4.5,767,2026-03-29
P00063,BrandB Books 63,Books,Educational,BrandB,"High-quality books product. Features durability, style, and value.",968.92,3.5,251,2026-07-09
P00064,BrandB Electronics 64,Electronics,Laptops,BrandB,"High-quality electronics product. Features durability, style, and value.",100.7,2.0,466,2026-03-01
P00065,Luxury Fashion 65,Fashion,Men's Clothing,Luxury,"High-quality fashion product. Features durability, style, and value.",667.54,2.9,830,2026-03-24
P00066,Budget Home & Garden 66,Home & Garden,Furniture,Budget,"High-quality home & garden product. Features durability, style, and value.",946.0,4.5,129,2026-08-09
P00067,BrandC Toys 67,Toys,Puzzles,BrandC,"High-quality toys product. Features durability, style, and value.",208.23,3.9,584,2026-04-20
P00068,Budget Food 68,Food,Beverages,Budget,"High-quality food product. Features durability, style, and value.",192.12,4.7,953,2026-06-10
P00069,BrandE Home & Garden 69,Home & Garden,Bedding,BrandE,"High-quality home & garden product. Features durability, style, and value.",244.84,3.8,870,2026-06-13
P00070,Standard Food 70,Food,Organic,Standard,"High-quality food product. Features durability, style, and value.",85.9,2.6,682,2026-04-05
P00071,Luxury Books 71,Books,Fiction,Luxury,"High-quality books product. Features durability, style, and value.",463.63,3.2,321,2026-02-21
P00072,Budget Home & Garden 72,Home & Garden,Bedding,Budget,"High-quality home & garden product. Features durability, style, and value.",780.29,3.3,538,2026-07-01
P00073,BrandA Fashion 73,Fashion,Accessories,BrandA,"High-quality fashion product. Features durability, style, and value.",306.77,4.1,199,2026-05-10
P00074,Elite Beauty 74,Beauty,Fragrances,Elite,"High-quality beauty product. Features durability, style, and value.",17.15,4.2,149,2026-06-28
P00075,Standard Fashion 75,Fashion,Men's Clothing,Standard,"High-quality fashion product. Features durability, style, and value.",518.19,2.6,25,2026-06-01
P00076,Luxury Electronics 76,Electronics,Smartphones,Luxury,"High-quality electronics product. Features durability, style, and value.",363.16,3.5,692,2026-07-13
P00077,BrandE Books 77,Books,Fiction,BrandE,"High-quality books product. Features durability, style, and value.",856.82,2.1,8,2026-08-16
P00078,Premium Beauty 78,Beauty,Fragrances,Premium,"High-quality beauty product. Features durability, style, and value.",622.91,2.2,847,2026-05-10
P00079,Elite Sports 79,Sports,Athletic Wear,Elite,"High-quality sports product. Features durability, style, and value.",754.38,4.5,394,2026-08-12
P00080,BrandA Electronics 80,Electronics,Laptops,BrandA,"High-quality electronics product. Features durability, style, and value.",303.77,3.5,663,2026-02-26
P00081,BrandE Electronics 81,Electronics,Laptops,BrandE,"High-quality electronics product. Features durability, style, and value.",302.27,2.8,262,2026-07-01
P00082,Elite Books 82,Books,Fiction,Elite,"High-quality books product. Features durability, style, and value.",802.43,4.7,819,2026-04-08
P00083,BrandC Food 83,Food,Beverages,BrandC,"High-quality food product. Features durability, style, and value.",680.77,4.1,91,2026-03-05
P00084,BrandE Food 84,Food,Snacks,BrandE,"High-quality food product. Features durability, style, and value.",658.03,2.7,529,2026-03-15
P00085,BrandB Home & Garden 85,Home & Garden,Decor,BrandB,"High-quality home & garden product. Features durability, style, and value.",908.84,3.5,775,2026-07-22
P00086,Premium Electronics 86,Electronics,Laptops,Premium,"High-quality electronics product. Features durability, style, and value.",470.89,2.7,628,2026-05-11
P00087,Elite Food 87,Food,Beverages,Elite,"High-quality food product. Features durability, style, and value.",233.31,2.7,39,2026-03-08
P00088,BrandC Food 88,Food,Specialty,BrandC,"High-quality food product. Features durability, style, and value.",478.16,2.8,690,2026-07-24
P00089,BrandD Fashion 89,Fashion,Men's Clothing,BrandD,"High-quality fashion product. Features durability, style, and value.",126.27,3.3,27,2026-04-24
P00090,BrandB Fashion 90,Fashion,Men's Clothing,BrandB,"High-quality fashion product. Features durability, style, and value.",498.1,4.1,556,2026-08-09
P00091,BrandC Fashion 91,Fashion,Men's Clothing,BrandC,"High-quality fashion product. Features durability, style, and value.",336.24,2.0,262,2026-07-03
P00092,BrandD Books 92,Books,Non-Fiction,BrandD,"High-quality books product. Features durability, style, and value.",726.83,3.6,690,2026-06-11
P00093,BrandA Fashion 93,Fashion,Men's Clothing,BrandA,"High-quality fashion product. Features durability, style, and value.",565.96,2.4,224,2026-05-08
P00094,Luxury Fashion 94,Fashion,Accessories,Luxury,"High-quality fashion product. Features durability, style, and value.",772.47,3.8,628,2026-07-24
P00095,Elite Books 95,Books,Fiction,Elite,"High-quality books product. Features durability, style, and value.",990.59,4.4,907,2026-07-14
P00096,Budget Food 96,Food,Beverages,Budget,"High-quality food product. Features durability, style, and value.",257.99,2.6,783,2026-05-12
P00097,Luxury Toys 97,Toys,Puzzles,Luxury,"High-quality toys product. Features durability, style, and value.",681.67,4.6,64,2026-06-01
P00098,Elite Toys 98,Toys,Puzzles,Elite,"High-quality toys product. Features durability, style, and value.",865.55,4.3,413,2026-03-01
P00099,BrandE Beauty 99,Beauty,Fragrances,BrandE,"High-quality beauty product. Features durability, style, and value.",395.62,4.2,354,2026-03-10
P00100,BrandC Beauty 100,Beauty,Makeup,BrandC,"High-quality beauty product. Features durability, style, and value.",320.68,2.5,969,2026-07-26
P00101,Luxury Sports 101,Sports,Accessories,Luxury,"High-quality sports product. Features durability, style, and value.",634.23,2.6,721,2026-05-05
P00102,BrandE Books 102,Books,Educational,BrandE,"High-quality books product. Features durability, style, and value.",393.81,3.0,626,2026-03-13
P00103,BrandB Books 103,Books,Fiction,BrandB,"High-quality books product. Features durability, style, and value.",944.48,4.1,403,2026-07-02
P00104,Luxury Home & Garden 104,Home & Garden,Furniture,Luxury,"High-quality home & garden product. Features durability, style, and value.",219.68,3.2,301,2026-05-19
P00105,Premium Electronics 105,Electronics,Accessories,Premium,"High-quality electronics product. Features durability, style, and value.",27.18,3.0,1,2026-08-08
P00106,Luxury Sports 106,Sports,Footwear,Luxury,"High-quality sports product. Features durability, style, and value.",145.75,3.0,26,2026-03-26
P00107,Luxury Books 107,Books,Educational,Luxury,"High-quality books product. Features durability, style, and value.",862.41,4.6,553,2026-08-03
P00108,Elite Home & Garden 108,Home & Garden,Kitchen,Elite,"High-quality home & garden product. Features durability, style, and value.",444.87,4.8,941,2026-07-19
P00109,BrandC Toys 109,Toys,Board Games,BrandC,"High-quality toys product. Features durability, style, and value.",639.3,2.9,765,2026-05-19
P00110,BrandA Sports 110,Sports,Footwear,BrandA,"High-quality sports product. Features durability, style, and value.",335.42,4.2,96,2026-03-03
P00111,Standard Toys 111,Toys,Board Games,Standard,"High-quality toys product. Features durability, style, and value.",498.37,4.8,619,2026-03-03
P00112,Luxury Home & Garden 112,Home & Garden,Bedding,Luxury,"High-quality home & garden product. Features durability, style, and value.",732.53,2.5,461,2026-02-23
P00113,BrandC Beauty 113,Beauty,Skincare,BrandC,"High-quality beauty product. Features durability, style, and value.",75.01,4.3,865,2026-03-14
P00114,BrandE Food 114,Food,Specialty,BrandE,"High-quality food product. Features durability, style, and value.",545.26,3.0,679,2026-05-30
P00115,BrandC Beauty 115,Beauty,Haircare,BrandC,"High-quality beauty product. Features durability, style, and value.",57.09,4.9,63,2026-07-19
P00116,Standard Sports 116,Sports,Accessories,Standard,"High-quality sports product. Features durability, style, and value.",818.38,3.7,222,2026-04-01
P00117,Budget Beauty 117,Beauty,Fragrances,Budget,"High-quality beauty product. Features durability, style, and value.",341.22,2.8,984,2026-07-16
P00118,Standard Sports 118,Sports,Athletic Wear,Standard,"High-quality sports product. Features durability, style, and value.",216.16,3.9,597,2026-08-04
P00119,Standard Sports 119,Sports,Accessories,Standard,"High-quality sports product. Features durability, style, and value.",249.72,3.0,495,2026-07-06
P00120,Elite Home & Garden 120,Home & Garden,Kitchen,Elite,"High-quality home & garden product. Features durability, style, and value.",116.08,4.6,291,2026-07-20
P00121,BrandE Food 121,Food,Specialty,BrandE,"High-quality food product. Features durability, style, and value.",850.5,4.0,706,2026-06-28
P00122,BrandE Electronics 122,Electronics,Accessories,BrandE,"High-quality electronics product. Features durability, style, and value.",895.13,2.7,694,2026-02-19
P00123,Elite Food 123,Food,Specialty,Elite,"High-quality food product. Features durability, style, and value.",364.14,4.6,926,2026-07-04
P00124,BrandE Beauty 124,Beauty,Haircare,BrandE,"High-quality beauty product. Features durability, style, and value.",600.89,4.8,134,2026-05-05
P00125,Elite Food 125,Food,Organic,Elite,"High-quality food product. Features durability, style, and value.",974.22,2.2,284,2026-06-09
P00126,Premium Fashion 126,Fashion,Men's Clothing,Premium,"High-quality fashion product. Features durability, style, and value.",743.66,2.3,742,2026-05-31
P00127,BrandA Food 127,Food,Snacks,BrandA,"High-quality food product. Features durability, style, and value.",615.29,4.9,394,2026-05-31
P00128,BrandB Home & Garden 128,Home & Garden,Bedding,BrandB,"High-quality home & garden product. Features durability, style, and value.",367.86,2.4,287,2026-08-14
P00129,BrandA Fashion 129,Fashion,Accessories,BrandA,"High-quality fashion product. Features durability, style, and value.",749.58,4.4,947,2026-04-12
P00130,BrandA Electronics 130,Electronics,Smartphones,BrandA,"High-quality electronics product. Features durability, style, and value.",908.69,4.3,104,2026-05-05
P00131,Luxury Sports 131,Sports,Accessories,Luxury,"High-quality sports product. Features durability, style, and value.",627.26,4.6,202,2026-03-27
P00132,BrandD Books 132,Books,Non-Fiction,BrandD,"High-quality books product. Features durability, style, and value.",507.21,4.4,609,2026-04-06
P00133,Premium Toys 133,Toys,Board Games,Premium,"High-quality toys product. Features durability, style, and value.",508.14,2.9,672,2026-06-11
P00134,BrandB Beauty 134,Beauty,Skincare,BrandB,"High-quality beauty product. Features durability, style, and value.",402.96,2.1,482,2026-05-04
P00135,Budget Toys 135,Toys,Building Blocks,Budget,"High-quality toys product. Features durability, style, and value.",884.7,2.7,265,2026-04-17
P00136,BrandE Electronics 136,Electronics,Accessories,BrandE,"High-quality electronics product. Features durability, style, and value.",212.65,3.9,185,2026-07-12
P00137,Elite Home & Garden 137,Home & Garden,Furniture,Elite,"High-quality home & garden product. Features durability, style, and value.",336.87,4.3,871,2026-03-14
P00138,Standard Beauty 138,Beauty,Fragrances,Standard,"High-quality beauty product. Features durability, style, and value.",656.13,3.0,391,2026-05-15
P00139,Elite Food 139,Food,Beverages,Elite,"High-quality food product. Features durability, style, and value.",675.33,2.8,600,2026-08-02
P00140,BrandA Home & Garden 140,Home & Garden,Furniture,BrandA,"High-quality home & garden product. Features durability, style, and value.",87.45,3.2,57,2026-05-20
P00141,BrandE Beauty 141,Beauty,Haircare,BrandE,"High-quality beauty product. Features durability, style, and value.",499.34,4.8,260,2026-02-21
P00142,BrandA Toys 142,Toys,Action Figures,BrandA,"High-quality toys product. Features durability, style, and value.",689.43,3.6,29,2026-06-05
P00143,Elite Electronics 143,Electronics,Smartphones,Elite,"High-quality electronics product. Features durability, style, and value.",601.19,3.3,284,2026-08-14
P00144,BrandC Toys 144,Toys,Action Figures,BrandC,"High-quality toys product. Features durability, style, and value.",891.59,4.3,13,2026-07-03
P00145,BrandD Beauty 145,Beauty,Fragrances,BrandD,"High-quality beauty product. Features durability, style, and value.",530.73,2.6,384,2026-05-26
P00146,BrandE Books 146,Books,Fiction,BrandE,"High-quality books product. Features durability, style, and value.",762.25,2.9,711,2026-05-31
P00147,BrandA Home & Garden 147,Home & Garden,Bedding,BrandA,"High-quality home & garden product. Features durability, style, and value.",149.66,2.8,368,2026-06-23
P00148,Elite Toys 148,Toys,Board Games,Elite,"High-quality toys product. Features durability, style, and value.",737.17,5.0,716,2026-07-21
P00149,BrandA Home & Garden 149,Home & Garden,Bedding,BrandA,"High-quality home & garden product. Features durability, style, and value.",244.81,3.5,436,2026-06-15
P00150,BrandB Toys 150,Toys,Action Figures,BrandB,"High-quality toys product. Features durability, style, and value.",108.44,3.6,740,2026-04-03
P00151,BrandE Food 151,Food,Organic,BrandE,"High-quality food product. Features durability, style, and value.",752.44,3.7,338,2026-06-26
P00152,BrandC Books 152,Books,Educational,BrandC,"High-quality books product. Features durability, style, and value.",636.26,5.0,954,2026-07-28
P00153,Premium Electronics 153,Electronics,Accessories,Premium,"High-quality electronics product. Features durability, style, and value.",409.21,4.6,102,2026-07-17
P00154,BrandC Fashion 154,Fashion,Shoes,BrandC,"High-quality fashion product. Features durability, style, and value.",117.44,4.5,973,2026-03-08
P00155,BrandE Toys 155,Toys,Building Blocks,BrandE,"High-quality toys product. Features durability, style, and value.",465.59,2.8,952,2026-02-26
P00156,Luxury Sports 156,Sports,Athletic Wear,Luxury,"High-quality sports product. Features durability, style, and value.",15.2,2.2,425,2026-05-08
P00157,BrandB Food 157,Food,Snacks,BrandB,"High-quality food product. Features durability, style, and value.",970.78,3.1,674,2026-07-10
P00158,Luxury Electronics 158,Electronics,Accessories,Luxury,"High-quality electronics product. Features durability, style, and value.",708.31,2.1,442,2026-06-12
P00159,Standard Toys 159,Toys,Board Games,Standard,"High-quality toys product. Features durability, style, and value.",984.08,3.9,288,2026-03-29
P00160,Premium Toys 160,Toys,Board Games,Premium,"High-quality toys product. Features durability, style, and value.",848.23,4.7,159,2026-04-18
P00161,BrandB Sports 161,Sports,Footwear,BrandB,"High-quality sports product. Features durability, style, and value.",197.49,3.5,862,2026-07-16
P00162,Luxury Sports 162,Sports,Equipment,Luxury,"High-quality sports product. Features durability, style, and value.",156.56,2.8,241,2026-08-11
P00163,BrandB Food 163,Food,Specialty,BrandB,"High-quality food product. Features durability, style, and value.",946.63,2.3,609,2026-08-02
P00164,BrandB Food 164,Food,Organic,BrandB,"High-quality food product. Features durability, style, and value.",389.62,4.4,232,2026-04-06
P00165,BrandB Home & Garden 165,Home & Garden,Kitchen,BrandB,"High-quality home & garden product. Features durability, style, and value.",461.05,2.7,202,2026-03-19
P00166,Standard Toys 166,Toys,Action Figures,Standard,"High-quality toys product. Features durability, style, and value.",466.39,3.6,707,2026-05-26
P00167,Elite Toys 167,Toys,Building Blocks,Elite,"High-quality toys product. Features durability, style, and value.",298.2,4.2,881,2026-07-10
P00168,Premium Beauty 168,Beauty,Skincare,Premium,"High-quality beauty product. Features durability, style, and value.",939.76,4.9,945,2026-03-23
P00169,BrandA Books 169,Books,Non-Fiction,BrandA,"High-quality books product. Features durability, style, and value.",498.83,3.4,339,2026-05-04
P00170,Elite Toys 170,Toys,Building Blocks,Elite,"High-quality toys product. Features durability, style, and value.",31.88,3.7,145,2026-08-10
P00171,Elite Food 171,Food,Beverages,Elite,"High-quality food product. Features durability, style, and value.",379.75,3.5,533,2026-06-17
P00172,Elite Toys 172,Toys,Action Figures,Elite,"High-quality toys product. Features durability, style, and value.",102.47,3.4,887,2026-07-06
P00173,Standard Home & Garden 173,Home & Garden,Kitchen,Standard,"High-quality home & garden product. Features durability, style, and value.",71.88,4.0,74,2026-06-30
P00174,BrandC Beauty 174,Beauty,Fragrances,BrandC,"High-quality beauty product. Features durability, style, and value.",842.44,4.7,482,2026-08-17
P00175,Luxury Food 175,Food,Specialty,Luxury,"High-quality food product. Features durability, style, and value.",828.89,3.8,185,2026-07-09
P00176,BrandC Electronics 176,Electronics,Laptops,BrandC,"High-quality electronics product. Features durability, style, and value.",487.57,2.6,603,2026-08-13
P00177,Standard Fashion 177,Fashion,Women's Clothing,Standard,"High-quality fashion product. Features durability, style, and value.",793.82,3.4,238,2026-06-07
P00178,BrandD Sports 178,Sports,Equipment,BrandD,"High-quality sports product. Features durability, style, and value.",625.83,4.9,631,2026-07-17
P00179,Elite Food 179,Food,Specialty,Elite,"High-quality food product. Features durability, style, and value.",245.9,4.1,835,2026-04-29
P00180,BrandA Home & Garden 180,Home & Garden,Decor,BrandA,"High-quality home & garden product. Features durability, style, and value.",614.21,5.0,497,2026-02-25
P00181,Elite Toys 181,Toys,Building Blocks,Elite,"High-quality toys product. Features durability, style, and value.",877.82,4.4,393,2026-07-22
P00182,Standard Food 182,Food,Snacks,Standard,"High-quality food product. Features durability, style, and value.",101.85,4.0,92,2026-06-20
P00183,BrandC Sports 183,Sports,Footwear,BrandC,"High-quality sports product. Features durability, style, and value.",976.31,2.7,162,2026-08-10
P00184,BrandB Home & Garden 184,Home & Garden,Furniture,BrandB,"High-quality home & garden product. Features durability, style, and value.",591.26,4.4,810,2026-08-09
P00185,BrandC Electronics 185,Electronics,Laptops,BrandC,"High-quality electronics product. Features durability, style, and value.",90.84,3.1,929,2026-06-24
P00186,Luxury Fashion 186,Fashion,Shoes,Luxury,"High-quality fashion product. Features durability, style, and value.",470.5,3.2,359,2026-06-19
P00187,Premium Books 187,Books,Self-Help,Premium,"High-quality books product. Features durability, style, and value.",145.97,3.9,489,2026-06-11
P00188,Elite Home & Garden 188,Home & Garden,Decor,Elite,"High-quality home & garden product. Features durability, style, and value.",625.26,2.3,438,2026-03-20
P00189,Standard Home & Garden 189,Home & Garden,Bedding,Standard,"High-quality home & garden product. Features durability, style, and value.",673.28,4.4,422,2026-04-25
P00190,Luxury Toys 190,Toys,Puzzles,Luxury,"High-quality toys product. Features durability, style, and value.",34.2,3.6,610,2026-05-26
P00191,BrandD Toys 191,Toys,Action Figures,BrandD,"High-quality toys product. Features durability, style, and value.",758.03,3.8,508,2026-05-14
P00192,BrandA Toys 192,Toys,Puzzles,BrandA,"High-quality toys product. Features durability, style, and value.",785.21,3.2,420,2026-05-09
P00193,BrandB Food 193,Food,Beverages,BrandB,"High-quality food product. Features durability, style, and value.",904.48,3.1,311,2026-03-13
P00194,BrandA Sports 194,Sports,Footwear,BrandA,"High-quality sports product. Features durability, style, and value.",541.72,4.0,701,2026-04-01
P00195,BrandD Toys 195,Toys,Puzzles,BrandD,"High-quality toys product. Features durability, style, and value.",202.63,4.3,467,2026-06-21
P00196,BrandB Electronics 196,Electronics,Laptops,BrandB,"High-quality electronics product. Features durability, style, and value.",326.37,4.3,138,2026-08-07
P00197,BrandD Books 197,Books,Fiction,BrandD,"High-quality books product. Features durability, style, and value.",81.76,4.4,603,2026-07-18
P00198,BrandB Fashion 198,Fashion,Accessories,BrandB,"High-quality fashion product. Features durability, style, and value.",580.07,3.5,54,2026-04-08
P00199,Premium Sports 199,Sports,Athletic Wear,Premium,"High-quality sports product. Features durability, style, and value.",92.9,3.4,70,2026-08-12
P00200,Standard Sports 200,Sports,Accessories,Standard,"High-quality sports product. Features durability, style, and value.",340.48,3.2,647,2026-04-13
P00201,Elite Food 201,Food,Beverages,Elite,"High-quality food product. Features durability, style, and value.",925.09,4.7,947,2026-08-07
P00202,BrandD Books 202,Books,Self-Help,BrandD,"High-quality books product. Features durability, style, and value.",837.12,3.1,478,2026-03-22
P00203,Elite Toys 203,Toys,Puzzles,Elite,"High-quality toys product. Features durability, style, and value.",836.31,4.6,898,2026-05-31
P00204,BrandA Food 204,Food,Beverages,BrandA,"High-quality food product. Features durability, style, and value.",448.21,4.9,385,2026-07-24
P00205,Elite Home & Garden 205,Home & Garden,Bedding,Elite,"High-quality home & garden product. Features durability, style, and value.",72.17,2.8,579,2026-04-15
P00206,Elite Fashion 206,Fashion,Shoes,Elite,"High-quality fashion product. Features durability, style, and value.",372.82,2.7,875,2026-02-19
P00207,BrandD Toys 207,Toys,Building Blocks,BrandD,"High-quality toys product. Features durability, style, and value.",149.46,2.1,281,2026-07-02
P00208,Standard Beauty 208,Beauty,Fragrances,Standard,"High-quality beauty product. Features durability, style, and value.",820.53,4.6,985,2026-04-05
P00209,BrandA Electronics 209,Electronics,Accessories,BrandA,"High-quality electronics product. Features durability, style, and value.",406.39,4.0,144,2026-05-15
P00210,BrandA Toys 210,Toys,Building Blocks,BrandA,"High-quality toys product. Features durability, style, and value.",998.75,4.9,366,2026-03-02
P00211,Standard Fashion 211,Fashion,Shoes,Standard,"High-quality fashion product. Features durability, style, and value.",117.73,4.1,451,2026-03-27
